Power Plant,Incident,Predicted Labels
South Texas,"This event was caused by degradation of the makeup filter and cleanup filter charcoal due to aging (i.e., the expected decline in charcoal performance attributed to the physical age of the charcoal and the consumption of background level contaminants during normal system use and testing).","['problem identification and resolution', 'work processes']"
South Texas,"The cause of this event was:
• Ineffective problem solving was used to determine the scope, priority, and actions for resolving the alarmed
condition.
• Neither control board indications or the annunciator response procedure identified this failure as a one hour
Technical Specification action statement thus limiting the awareness and pursuit of the condition by the control room staff.","['leadership safety values and actions', 'problem identification and resolution']"
South Texas,"
The root cause for this event was a failure to develop administrative documents to support the changes to Technical Specifications 3.8.2.2 and 3.8.3.2.
On February 14, 1995, Technical Specifications 3.8.2.2 and 3.8.3.2 were amended. The new Technical Specifications did not provide a listing of specific equipment required to be OPERABLE in Modes 5 and 6 for support equipment, as was in the previous Technical Specifications. No additional administrative instructions or controls were put in place to ensure proper implementation.","['decision making', 'leadership safety values and actions', 'work processes']"
South Texas,"The root cause for this event is workers' lack of attention to detail while reviewing the acceptance criteria.
While the craftsmen were recording readings they failed to understand that the data taken from cell #18 did not meet the procedure's acceptance criterion. While reviewing the acceptance criterion from the body of the procedure and referring to the data sheet, the craftsmen thought that the acceptance criterion was satisfied if the electrolyte level was equal to the + 1/4 inch.","['continuous learning', 'problem identification and resolution', 'work processes']"
South Texas,"The root cause for this event was that special circumstances or conditions associated with installation of the temporary modification in Modes 5 and 6 were not recognized during outage planning. It was incorrectly understood that the components powered from Load Center E1B would remain operable with Load Center E1B inoperable but functional and energized. The philosophy that the functional, but inoperable, Load Center El B could supply the operable B Train systems led to the temporary modification installation being scheduled and implemented during the core off-load window.","['decision making', 'problem identification and resolution', 'work processes']"
South Texas,"
The root cause of this event was the lack of questioning attitude by the Reactor Operator and the Unit Supervisor to validate qualification concerns. A contributing cause was an informal process was used to distribute the active license list to the control rooms.","['effective safety communication', 'questioning attitude', 'work processes']"
South Texas,"
The cause of this event was concurrent failure of the level control system due to debris induced mechanical binding of the upper float assembly and failure of the float check valve. The float check valve failure was due to a previously unidentified failure mechanism of age related degradation.","['problem identification and resolution', 'work processes']"
South Texas,"The root cause for main turbine governor valves failing closed was a failure of gate logic card 1A05A2 for the analog electro-hydraulic controller lamp driver card. This card failure prevented complete transfer to the impulse pressure feedback ""in"" mode and caused the reference counter to go to zero. The reference counter being at zero caused all four valves to close when turbine control was returned to the impulse pressure feedback ""out"" mode.
The root cause for automatic safety injection was partially open pressurizer spray valves. A calibration shift of the spray valve UP converters during the transient caused these valves to be driven partially open with zero (closed) demand position. This condition resulted in a larger than expected pressure drop.
","['problem identification and resolution', 'work processes']"
South Texas,"Root Cause:
The cause of the Train C Essential Cooling Water pump failure following overhaul maintenance was foreign material intrusion. The root cause of the foreign material intrusion was less than adequate implementation of the Foreign Material Exclusion program.
The wire cup brush threw filaments, during the normal course of use, into the inside of the inner columns (enclosing tubes). The wire brush filaments (foreign material) caused insufficient cooling/lubricating flow by blocking or obstructing the bearing flow orifices.
Foreign material prevention activities described in station procedures were not followed. No actions were taken to prevent the filaments from entering the inner columns during cleaning of the mating surfaces. No actions were taken to clean the inside of the inner columns prior to reassembly to remove the wire filaments.
Contributing Causes:
• The work package, pump maintenance procedure, and cleanness procedure, as implemented during the task, did not provide sufficient controls to prevent the introduction of foreign material.
• The craftsmen did not follow the cleanness procedure providing direction and control for preventing foreign material from entering plant equipment/systems. The cleanness procedure was not directly referenced in the pump maintenance procedure and was only listed as a source document in the work order.Work planners and Supervisors did not provide Maintenance Verification Points (MVP) in the work instructions to heighten personnel awareness to the cleanness inspection as required by the cleanness procedure.
• The performance of the cleanness inspection was inadequate. The visual inspection, as performed, could not detect the small wire filaments that were masked by the buildup of uneven scale lining the inside of the columns, poor lighting and the long length (10 feet) of the columns.
","['problem identification and resolution', 'work processes']"
South Texas,"
Root Causes:
1. The root cause of the valves failing the as found lift test is the inherent differences between the
valve as left test conditions and as found test conditions and nozzle loading effects which are inducing stresses and misalignments in the valves.
2. The tight tolerances of +/- 2% for the testing make it difficult to consistently pass the test under the existing conditions for these type valves.","['problem identification and resolution', 'work processes']"
